Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
1,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000.0
2,06-12-2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000.0
3,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Mumbai Angels Ravikanth Reddy,Seed,50000000.0
4,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,SAIF Partners Spring Canter Investment Ltd.,Series F,20000000.0
5,17-12-2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Paytm NPTK Sabre Partners and Neoplux,Series C,12000000.0
6,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,30000000.0
7,16-12-2019,InCred,Finance,Non-Banking Financial Company,Mumbai,,Debt Funding,5900000.0
8,14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,2000000.0
9,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000.0
10,20-12-2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,231000000.0
11,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,Sequoia CapitalG Accel,Series H,150000000.0
12,14-11-2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Sauce.vc Rainforest Ventures,Series B,486000.0
13,13-11-2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Prime Venture Partners LetsVenture PS1 Venture and GlobalLogic co-founder Rajul Garg,Seed,1500000.0
15,18-11-2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Daiwa Ventures DG Incubation,Series B,12000000.0
16,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000000.0
17,20-11-2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,17411265.0
18,12-11-2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,1300000.0
19,20-11-2019,Clumio,SaaS,Recovery software,San Jose,Altimeter Capital Sutter Hill Ventures,Series C,135000000.0
20,11-11-2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,300000.0
21,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,220000000.0
22,18-11-2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Ackermans & van Haaren HealthQuad Rebright Partners Toppan Printing,Series B,15800000.0
23,15-11-2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Matrix Partners Stellaris Venture Partners Kalaari Capital,Series B,283000000.0
24,19-11-2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,,200000000.0
25,25-11-2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,1000000000.0
26,04-10-2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,45000000.0
27,02-10-2019,Udaan,B2B,Business development,Bengaluru,Altimeter Capital DST Global,Series D,585000000.0
29,05-09-2019,FPL Technologies,FinTech,Financial Services,Pune,Matrix Partners India Sequoia India,Maiden Round,4500000.0
30,04-09-2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000.0
31,04-09-2019,Digital F5,Advertising Marketing,Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,6000000.0
32,04-09-2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,5000000.0
33,04-09-2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000.0
34,04-09-2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,1000000.0
35,04-09-2019,Atomberg Technology,Consumer Technology,Consumer Electronics Home Appliances,Mumbai,A91 Partners,Series A,10000000.0
36,04-09-2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,450000000.0
37,03-09-2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,India Quotient Axilor Ventures,Series A,5000000.0
38,01-08-2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,20000000.0
39,01-08-2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000.0
40,01-08-2019,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,,Seed Funding Round,1600000.0
41,01-08-2019,Alteria Capital,Finance,VC Funds,Mumbai,Azim Premji Binny Bansal,Single Venture,140000000.0
42,01-08-2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,38080000.0
43,12-08-2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0
44,13-08-2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000.0
45,13-08-2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0
46,23-08-2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0
47,23-08-2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,Rashmi Daga (founder FreshMenu) Raveen Sastry (co-founder Myntra) and Mitesh Shah (finance chief BookMyShow),Seed Round,500000.0
48,23-08-2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0
49,22-08-2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,15000000.0
50,21-08-2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0
51,23-08-2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,1000000.0
53,19-08-2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,70000000.0
54,27-08-2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0
55,02-07-2019,RenewBuy,Finance,Auto Insurance,Gurgaon,Lok Capital IIFL Wealth,Series B,19000000.0
56,02-07-2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0
57,01-07-2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,145000.0
58,03-07-2019,Ola Cabs,Transport,Cabs,Kormangala,DIG Investment Ab Deshe Holdings Samih Toukan and Hussam Khoury,Series J,1000000.0
59,01-07-2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0
60,04-07-2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,500000.0
61,10-07-2019,byju's,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,150000000.0
62,11-07-2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,Composite Capital Management Sequoia Capital India Tiger Global Management,Series D,60000000.0
63,10-07-2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0
64,10-07-2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0
65,10-07-2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0
66,09-07-2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0
67,08-07-2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0
68,05-06-2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0
69,04-06-2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,10000000.0
70,03-06-2019,FabHotels,E-Commerce,Hospitality,Gurgaon,Goldman Sachs Accel Partners and Qualcomm,,4889975.54
71,03-06-2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0
72,04-06-2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000.0
73,04-06-2019,Recykal,Waste Management Service,Optimization,Hyderabad,Triton Investment Advisors Pidilite Industries director Ajay Parekh,pre-Series A,26000000.0
74,03-06-2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,2500000.0
75,06-06-2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,Shell Foundation DILA CAPITAL Engie RDE Fund EcoEnterprise Fund EDFIMC (ElectriFI) Endeavor Catalyst Fund CoCapital Triodos Alpha Mundi and Lendahand,,2739034.68
76,06-06-2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000.0
77,06-06-2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0
78,10-06-2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,430200.0
79,10-06-2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0
80,06-06-2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000.0
81,08-06-2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,3584000.0
82,04-06-2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000.0
84,06-05-2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,868600.0
86,01-05-2019,BlackBuck,Transport,Logistics,Bengaluru,Goldman Sachs Investment Partners and Silicon Valley-based Accel Wellington Sequoia Capital B Capital LightStreet Sands Capital and International Finance Corporation,Series D,150000000.0
87,02-05-2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,50000000.0
88,28-05-2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,51000000.0
89,28-05-2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,140000000.0
90,30-05-2019,GlowRoad,E-commerce,Retail,Bengaluru,Korea Investment Partners Vertex Ventures,Series B,11500000.0
91,31-05-2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000.0
92,16-04-2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000.0
93,12-04-2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,17000000.0
94,10-04-2019,Kabadiwala,E-commerce,Waste Management,Bhopal,Unilever Beehive Capital Advisor ABCOM Investments Parekh Marine Transport,Private Equity,430665.0
95,13-04-2019,Tripoto,Social Media,Travel,New Delhi,Orchid India Hornbill Orchid India Fund Chiratae Ventures (formerly IDG Ventures) 3one4 Capital Lasmer NV,Series B,3591375.0
96,12-04-2019,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,200000.0
97,11-04-2019,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,3500000.0
98,10-04-2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,6320820.0
99,10-04-2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,2443495.0
100,10-04-2019,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/Angel Funding,307000.0
101,11-04-2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,Sequoia India Tiger Global Management Accel Partners,Series B,26000000.0
102,19-04-2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000.0
103,19-04-2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,BAC Acquisitions Unifi AIF BRD Securities Northern R Capital,Debt,14342000.0
104,17-04-2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,5000000.0
105,17-04-2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,021 Capita Binny Bansal,Series A,3000000.0
107,08-02-2019,Zilingo,E-commerce,Fashion & Apparel,India/Singapore,Sequoia Capital and Temasek Holdings EDBI Burda Principal Investments and Sofina,Series D,226000000.0
108,13-02-2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,LetsVenture PitchRight Venture 91SpringBoard AL Nour International Holdings and Mark V Investments,Series A,600000.0
109,14-02-2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,100000000.0
110,03-01-2019,CarDekho,Automobile,Online Marketplace,Jaipur,Sequoia India Hillhouse Capital Alphabets growth investment arm Capital G and Axis Bank,Series C,110000000.0
111,04-01-2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,Iron Pillar Perceptive Advisors Romulus Capital and Kalaari Capital,Series D,22000000.0
112,04-01-2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,MASSIF a Dutch government fund,Debt-Funding,5000000.0
113,04-12-2018,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,700000.0
114,01-12-2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,50000000.0
115,02-12-2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000.0
116,02-12-2018,Career Anna,Online Education,Video-based certification trainings,Gurugram,Individual Investors,Pre-Series A,572000.0
117,04-12-2018,Nagpur Wholesale,Online Marketplace,E-commerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,143000.0
118,06-12-2018,ShopKirana,B2B,E-commerce,Indore,Info Edge AET Fund Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.,Seed Funding,2000000.0
119,06-12-2018,BuildSupply,SaaS E-commerce,Real Estate ERP,Gurugram,Venture Highway GREE Ventures Space Matrix Individual Investors,Series A,3500000.0
120,01-11-2018,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Seed/Angel Funding,138995.0
121,03-11-2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,Norwest Venture Partners CDC Group the UKs Development Finance Institution and P Surendra Pai,Series D,27799000.0
122,06-11-2018,Meesho,E-commerce,Social Commerce,Bengaluru,Shunwei Capital DST Partners and RPS Ventures,Series C,50000000.0
123,08-11-2018,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,500000.0
124,08-11-2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,RB Investments Singapore,Equity,1000000.0
125,12-11-2018,Blackbuck,Food Tech,POS For Online Ordering,New York Bengaluru,Tiger Global,Series A,1000000.0
126,12-11-2018,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,1300000.0
127,13-11-2018,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,1000000.0
128,14-11-2018,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Seed/Angel Funding,500000.0
129,19-11-2018,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,300000000.0
130,20-11-2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,Sistema Asia Fund VC Samsung NEXT Chiratae Ventures Inventus Capital Blume Ventures and Innoven Capital.,Series B (Extension),6000000.0
131,21-11-2018,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,278000.0
132,22-11-2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity Based Funding,31000000.0
134,23-11-2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,Stellaris Venture Partners and Kalaari Capital Rajan Anandan from Google Dilip Khandwelwal from SAP Labs India and Amrish Rau from PayU India,Series A,3400000.0
135,24-11-2018,Engineer.ai,Software,AI Platform,India/US,Lakestar and Jungle Ventures Softbanks DeepCore.,Series A,29500000.0
136,25-11-2018,InCred Finance,Finance,SME Lending,India,Paragon Partners Individual Investors,Private Equity,42000000.0
137,25-11-2018,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000.0
139,02-10-2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,Cooperative Oikocredit Caspian and Hivos-Triodos Fund,Seed/Angel Funding,11000000.0
140,04-10-2018,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000.0
141,05-10-2018,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,3000000.0
142,11-10-2018,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,4000000.0
143,12-10-2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Funding,14680000.0
144,12-10-2018,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,12000000.0
145,01-09-2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,Sistema Asia Fund Sistema JSFC and Tanncam Investment,Private Equity,35000000.0
146,03-09-2018,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners global fund.,Private Equity,225000000.0
147,03-09-2018,Daily hunt,Consumer Internet,News and ebooks Mobile App,Bengaluru,Falcon Edge,Private Equity,6390000.0
148,04-09-2018,3HCare,Healthcare,Healthcare Service Provider,Delhi,,Seed/Angel Funding,1000000.0
150,05-09-2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000.0
152,06-09-2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,Tencent Kalaari Capital and Private equity firm Multiples Alternate Asset Management,Private Equity,100000000.0
153,10-09-2018,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000.0
154,11-09-2018,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,CLP Holdings Group Innogy rstead and Tenaska,Private Equity,32000000.0
155,11-09-2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000.0
156,11-09-2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,Shunwei CapitalQuotient Mayfield & Others,Private Equity,5000000.0
157,12-09-2018,Kissht,Fin-Tech,Online lending Platform,Mumbai,Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund Fosun RZ Capital Ventureast and Endiya Partners.  ,Private Equity,30000000.0
158,01-08-2018,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,Farm To Fork Arts Alliance The Syndicate Fund Sven Hensen Zeroth and Artesian Venture Partners,Seed/Angel Funding,400000.0
160,02-08-2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000.0
161,03-08-2018,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000.0
162,07-08-2018,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,,Seed/Angel Funding,1000000.0
163,07-08-2018,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity,35000000.0
164,07-08-2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000.0
165,08-08-2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Seed/Angel Funding,4000000.0
166,08-08-2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,Sequoia Capital India Advisors Accel Partners and G Raghunandan,Private Equity,12200000.0
167,08-08-2018,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity,66000000.0
168,09-08-2018,quizizz,Ed-Tech,e-learning Platform,Bengaluru,Nexus Venture Partners Prime Venture Partners and Others,Seed/Angel Funding,3000000.0
169,09-08-2018,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Seed/Angel Funding,1000000.0
170,13-08-2018,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,Ventureast Orios Venture Partners and the IAN Fund,Seed/Angel Funding,4000000.0
171,13-08-2018,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,Nexus Venture Partners MGV Liquid 2 Ventures Hack VC Emergent Ventures and Y Combinator,Private Equity,8000000.0
172,16-08-2018,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,,Seed/Angel Funding,114811.0
173,17-08-2018,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000.0
174,20-08-2018,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,,Seed/Angel Funding,1000000.0
175,20-08-2018,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000.0
176,22-08-2018,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focusedPlatform,Bengaluru,CDC Group plc,Private Equity,6000000.0
177,22-08-2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,Hyundai Edelweiss and Beenext Dream Incubator Sunjay Kapoor and Telama Investment,Private Equity,14270000.0
178,26-08-2018,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,XiaomiPayU Ribbit Capital and Omidyar Network,Private Equity,13400000.0
179,26-08-2018,Shubh Loans,Fin-Tech,Customer Sourcing Platform,Bengaluru,Saama Capital SRI Capital Beenext and Pravega Ventures,Private Equity,4200000.0
180,27-08-2018,MyUpchar,Healthcare,Local Language Health Content App,Delhi,Nexus Venture Partners Omidyar Network and Shunwei Capital,Private Equity,5000000.0
181,28-08-2018,Narvar,IT,Post-Purchase Customer Engagement Platform,Bengaluru,Accel (formerly known as Accel Partners),Private Equity,3000000.0
182,30-08-2018,True North,Finance,Private Equity Firm,Mumbai,,Private Equity,600000000.0
184,02-07-2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/Angel Funding,1000000.0
185,04-07-2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000.0
186,05-07-2018,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,Shunwei Capital Tuscan Ventures Ashish Goenka VC firms India Quotient and Kae Capital,Private Equity,6250000.0
187,06-07-2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000.0
188,09-07-2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bengaluru,Info Edge (India) Ltd,Seed/Angel Funding,440000.0
189,09-07-2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bengaluru,Insignia Ventures Partners Lightbridge Partners & Kairos,Seed/Angel Funding,1100000.0
190,10-07-2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,Avtar Monga chief operating office at IDFC Bank Aditya Malik & Others,Seed/Angel Funding,437000.0
192,10-07-2018,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bengaluru,ResponsAbility,Private Equity,5000000.0
193,10-07-2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,Stellaris Venture Partners Vy Capital Raghunandan G and Ramakant Sharma,Private Equity,5000000.0
194,11-07-2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000.0
195,12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,Rishi Vasudev Excelsior Investments Ritesh Vohra Praveer Kumar Prashant Gupta and Others,Seed/Angel Funding,180000.0
196,12-07-2018,5th Vital,Healthcare,Home diagnostics services provider,Bengaluru,Brand Capital and Others,Seed/Angel Funding,500000.0
197,13-07-2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,Siddharth Agarwal Mahavir Sharma Amit Singal 100 Co-founders Lab and others.,Seed/Angel Funding,175000.0
198,17-07-2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,Creation Investments Falcon Edge Matrix Partners India and Zodius Capital,Private Equity,29000000.0
199,17-07-2018,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,Kingsway FCI Fund KCK Global & Others,Private Equity,49700000.0
200,18-07-2018,The Ken,Consumer Internet,Subscription-Only News Website,Bengaluru,Omidyar Network & Others,Seed/Angel Funding,1500000.0
201,19-07-2018,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,TPG Growth The Rise Fund & Others,Private Equity,100000000.0
202,20-07-2018,HousingMan,Consumer Internet,Property Discovery Platform,Bengaluru,,Seed/Angel Funding,1500000.0
203,21-07-2018,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,18000000.0
205,23-07-2018,VTION,Technology,Media Analytics,Gurugram,AngelList Rahul Khanna Rajeev Arora and Ram Ramsundar.,Seed/Angel Funding,280000.0
206,23-07-2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bengaluru,Metaform Ventures Hemant Luthra Micro venture capital firm GEMS Partners and Others,Seed/Angel Funding,436000.0
207,24-07-2018,kidovators,Ed-Tech,Skill Learning Platform,Bengaluru,Gray Matters,Seed/Angel Funding,180000.0
208,24-07-2018,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,45000000.0
209,25-07-2018,Black Soil,Finance,Non-Banking Financial Company,Mumbai,Allcargo Logistics Navneet Education and Mahavir Agency,Private Equity,17000000.0
210,25-07-2018,Trell,Consumer Internet,Mobile-First Video Blogging App,Bengaluru,BeeNext  WEH Ventures and Sprout Ventures,Seed/Angel Funding,1250000.0
211,25-07-2018,iqlect,Technology,Data Analytics Firm,Bengaluru,Ventureast and Exfinity,Seed/Angel Funding,2500000.0
212,26-07-2018,Entropik,IT,Software-As-A-Service Platform,Bengaluru,Bharat Innovation IDFC-Parampara Capital Arthavida Ventures Jitendra Gupta & Others,Seed/Angel Funding,1100000.0
214,26-07-2018,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000.0
215,30-07-2018,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000.0
216,30-07-2018,Cure Fit,Consumer Internet,Health and fitness Platform,Bengaluru,IDG Ventures Accel Partners Kalaari Capital and Others,Private Equity,120000000.0
217,31-07-2018,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,TPG Norwest Venture Partners Sequoia Capital & Matrix Partners,Private Equity,100000000.0
218,31-07-2018,Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed/Angel Funding,5000000.0
219,01-06-2018,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,Sabre Partners Puneet Dalmia & Others,Private Equity,10000000.0
